,alpha,beta,gamma,delta,epsilon,theta,zeta,eta,mu,nu,tau,lambda,kappa,xi,rho,sigma,s,i,d,a,r,t,h,e,h_detected,r0
43,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.996995006496019,0.00029181946732612216,0.0008928412438821222,2.2790920497287904e-05,0.0005385930605958792,0.00010705125059341957,0.0011390901271396414,1.280743394644578e-05,0.00038311340287100145,0.8469123628743992
44,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9969261362691337,0.00027436161081801616,0.0009088984844018023,2.1112636989693703e-05,0.0005502077846572176,0.00011319095157222586,0.0011921839561566117,1.3908306270721149e-05,0.0004131249853451198,0.8469123628743992
45,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9968608086203155,0.0002584488194897516,0.0009209872170817447,1.9644054685749503e-05,0.0005611954229776218,0.00011936450766040303,0.0012444806075976311,1.5070750191616777e-05,0.00044370526863993,0.8469123628743992
46,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9967987152329432,0.00024393978963925712,0.0009295703620776265,1.8346409549768793e-05,0.0005715548646290837,0.00012556343059350045,0.0012960148481930833,1.6295062374558496e-05,0.0004747672959011562,0.8469123628743992
47,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9967395777905272,0.00023070459226610414,0.0009350639382792473,1.7190918802889826e-05,0.0005812836182489379,0.00013177910497778707,0.0013468185829762502,1.7581453921549792e-05,0.000506232771302129,0.8469123628743992
48,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9966831449181172,0.00021862431023537008,0.000937841321580594,1.6155723029302964e-05,0.0005903798073714926,0.00013800285261688608,0.0013969210176344449,1.8930049414831795e-05,0.0005380311576329503,0.8469123628743992
49,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9966291894755385,0.00020759046864808845,0.0009382372225668061,1.5223826035263802e-05,0.0005988432767299519,0.00014422599812329798,0.0014463488457435725,2.0340886614646716e-05,0.0005700988874278514,0.8469123628743992
50,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9965775061489228,0.0001975043587453745,0.0009365513660302803,1.4381700557561352e-05,0.0006066761324272948,0.00015043993164253597,0.0014951264448727075,2.1813916801409837e-05,0.0006023786674412435,0.8469123628743992
51,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9965279092988197,0.00018827631914611936,0.0009330518713156431,1.3618338942157267e-05,0.0006138829280576274,0.00015663616635985624,0.0015432760716381777,2.334900572066603e-05,0.0006348188613620598,0.8469123628743992
52,0.21,0.005,0.11,0.005,0.2,0.371,0.025,0.025,0.008,0.015,0.01,0.08,0.02,0.02,0.02,0.01,0.9964802310316372,0.00017982501420152173,0.0009279783425097831,1.292460174139904e-05,0.0006204706354468477,0.0001628063896373617,0.001590818049753584,2.4945935072182403e-05,0.0006673729391913931,0.8469123628743992
